concept1,concept2,mgL_usH1,mgL_usH2,mgH_usH1,mgH_usH2,mgL_usL1,mgL_usL2,mgH_usL1,mgH_usL2
mango,lightning,WH,DP,WH,SG,LY,SC,DR,SG
mango,lightning,WH,DP,WH,SG,LY,SC,SG,SR
mango,lightning,WH,DP,WH,SG,LY,LH,DR,SG
mango,lightning,WH,DP,WH,SG,LY,LH,SG,SR
mango,lightning,WH,DP,WH,SG,SP,DP,DR,SG
mango,lightning,WH,DP,WH,SG,SP,DP,SG,SR
mango,lightning,WH,DP,WH,SG,SP,MP,DR,SG
mango,lightning,WH,DP,WH,SG,SP,MP,SG,SR
mango,lightning,WH,DP,WH,SG,SP,MC,DR,SG
mango,lightning,WH,DP,WH,SG,SP,MC,SG,SR
mango,lightning,WH,DP,WH,SG,SP,LP,DR,SG
mango,lightning,WH,DP,WH,SG,SP,LP,SG,SR
mango,lightning,WH,DP,WH,SG,DP,MP,DR,SG
mango,lightning,WH,DP,WH,SG,DP,MP,SG,SR
mango,lightning,WH,DP,WH,SG,DP,LP,DR,SG
mango,lightning,WH,DP,WH,SG,DP,LP,SG,SR
mango,lightning,WH,DP,WH,SG,DR,SR,DR,SG
mango,lightning,WH,DP,WH,SG,DR,SR,SG,SR
mango,lightning,WH,DP,WH,SG,DC,MC,DR,SG
mango,lightning,WH,DP,WH,SG,DC,MC,SG,SR
mango,lightning,WH,DP,WH,SG,SB,LB,DR,SG
mango,lightning,WH,DP,WH,SG,SB,LB,SG,SR
mango,lightning,WH,DP,WH,SG,A1,BK,DR,SG
mango,lightning,WH,DP,WH,SG,A1,BK,SG,SR
mango,lightning,WH,DP,WH,SG,MP,LP,DR,SG
mango,lightning,WH,DP,WH,SG,MP,LP,SG,SR
mango,lightning,WH,DP,WH,SG,DO,LO,DR,SG
mango,lightning,WH,DP,WH,SG,DO,LO,SG,SR
mango,lightning,WH,DP,WH,SG,LR,MR,DR,SG
mango,lightning,WH,DP,WH,SG,LR,MR,SG,SR
mango,lightning,WH,DP,WH,SG,MR,LO,DR,SG
mango,lightning,WH,DP,WH,SG,MR,LO,SG,SR
mango,lightning,WH,DP,WH,SG,MC,LP,DR,SG
mango,lightning,WH,DP,WH,SG,MC,LP,SG,SR
mango,lightning,WH,DP,WH,SG,SC,LH,DR,SG
mango,lightning,WH,DP,WH,SG,SC,LH,SG,SR
mango,lightning,WH,DP,WH,SG,LC,MB,DR,SG
mango,lightning,WH,DP,WH,SG,LC,MB,SG,SR
mango,lightning,WH,DP,WH,SG,LC,DB,DR,SG
mango,lightning,WH,DP,WH,SG,LC,DB,SG,SR
mango,lightning,WH,DP,WH,SG,MB,DB,DR,SG
mango,lightning,WH,DP,WH,SG,MB,DB,SG,SR
mango,lightning,WH,DP,DG,A1,LY,SC,DR,SG
mango,lightning,WH,DP,DG,A1,LY,SC,SG,SR
mango,lightning,WH,DP,DG,A1,LY,LH,DR,SG
mango,lightning,WH,DP,DG,A1,LY,LH,SG,SR
mango,lightning,WH,DP,DG,A1,SP,DP,DR,SG
mango,lightning,WH,DP,DG,A1,SP,DP,SG,SR
mango,lightning,WH,DP,DG,A1,SP,MP,DR,SG
mango,lightning,WH,DP,DG,A1,SP,MP,SG,SR
mango,lightning,WH,DP,DG,A1,SP,MC,DR,SG
mango,lightning,WH,DP,DG,A1,SP,MC,SG,SR
mango,lightning,WH,DP,DG,A1,SP,LP,DR,SG
mango,lightning,WH,DP,DG,A1,SP,LP,SG,SR
mango,lightning,WH,DP,DG,A1,DP,MP,DR,SG
mango,lightning,WH,DP,DG,A1,DP,MP,SG,SR
mango,lightning,WH,DP,DG,A1,DP,LP,DR,SG
mango,lightning,WH,DP,DG,A1,DP,LP,SG,SR
mango,lightning,WH,DP,DG,A1,DR,SR,DR,SG
mango,lightning,WH,DP,DG,A1,DR,SR,SG,SR
mango,lightning,WH,DP,DG,A1,DC,MC,DR,SG
mango,lightning,WH,DP,DG,A1,DC,MC,SG,SR
mango,lightning,WH,DP,DG,A1,SB,LB,DR,SG
mango,lightning,WH,DP,DG,A1,SB,LB,SG,SR
mango,lightning,WH,DP,DG,A1,A1,BK,DR,SG
mango,lightning,WH,DP,DG,A1,A1,BK,SG,SR
mango,lightning,WH,DP,DG,A1,MP,LP,DR,SG
mango,lightning,WH,DP,DG,A1,MP,LP,SG,SR
mango,lightning,WH,DP,DG,A1,DO,LO,DR,SG
mango,lightning,WH,DP,DG,A1,DO,LO,SG,SR
mango,lightning,WH,DP,DG,A1,LR,MR,DR,SG
mango,lightning,WH,DP,DG,A1,LR,MR,SG,SR
mango,lightning,WH,DP,DG,A1,MR,LO,DR,SG
mango,lightning,WH,DP,DG,A1,MR,LO,SG,SR
mango,lightning,WH,DP,DG,A1,MC,LP,DR,SG
mango,lightning,WH,DP,DG,A1,MC,LP,SG,SR
mango,lightning,WH,DP,DG,A1,SC,LH,DR,SG
mango,lightning,WH,DP,DG,A1,SC,LH,SG,SR
mango,lightning,WH,DP,DG,A1,LC,MB,DR,SG
mango,lightning,WH,DP,DG,A1,LC,MB,SG,SR
mango,lightning,WH,DP,DG,A1,LC,DB,DR,SG
mango,lightning,WH,DP,DG,A1,LC,DB,SG,SR
mango,lightning,WH,DP,DG,A1,MB,DB,DR,SG
mango,lightning,WH,DP,DG,A1,MB,DB,SG,SR
mango,lightning,WH,DP,DG,BK,LY,SC,DR,SG
mango,lightning,WH,DP,DG,BK,LY,SC,SG,SR
mango,lightning,WH,DP,DG,BK,LY,LH,DR,SG
mango,lightning,WH,DP,DG,BK,LY,LH,SG,SR
mango,lightning,WH,DP,DG,BK,SP,DP,DR,SG
mango,lightning,WH,DP,DG,BK,SP,DP,SG,SR
mango,lightning,WH,DP,DG,BK,SP,MP,DR,SG
mango,lightning,WH,DP,DG,BK,SP,MP,SG,SR
mango,lightning,WH,DP,DG,BK,SP,MC,DR,SG
mango,lightning,WH,DP,DG,BK,SP,MC,SG,SR
mango,lightning,WH,DP,DG,BK,SP,LP,DR,SG
mango,lightning,WH,DP,DG,BK,SP,LP,SG,SR
mango,lightning,WH,DP,DG,BK,DP,MP,DR,SG
mango,lightning,WH,DP,DG,BK,DP,MP,SG,SR
mango,lightning,WH,DP,DG,BK,DP,LP,DR,SG
mango,lightning,WH,DP,DG,BK,DP,LP,SG,SR
mango,lightning,WH,DP,DG,BK,DR,SR,DR,SG
mango,lightning,WH,DP,DG,BK,DR,SR,SG,SR
mango,lightning,WH,DP,DG,BK,DC,MC,DR,SG
mango,lightning,WH,DP,DG,BK,DC,MC,SG,SR
mango,lightning,WH,DP,DG,BK,SB,LB,DR,SG
mango,lightning,WH,DP,DG,BK,SB,LB,SG,SR
mango,lightning,WH,DP,DG,BK,A1,BK,DR,SG
mango,lightning,WH,DP,DG,BK,A1,BK,SG,SR
mango,lightning,WH,DP,DG,BK,MP,LP,DR,SG
mango,lightning,WH,DP,DG,BK,MP,LP,SG,SR
mango,lightning,WH,DP,DG,BK,DO,LO,DR,SG
mango,lightning,WH,DP,DG,BK,DO,LO,SG,SR
mango,lightning,WH,DP,DG,BK,LR,MR,DR,SG
mango,lightning,WH,DP,DG,BK,LR,MR,SG,SR
mango,lightning,WH,DP,DG,BK,MR,LO,DR,SG
mango,lightning,WH,DP,DG,BK,MR,LO,SG,SR
mango,lightning,WH,DP,DG,BK,MC,LP,DR,SG
mango,lightning,WH,DP,DG,BK,MC,LP,SG,SR
mango,lightning,WH,DP,DG,BK,SC,LH,DR,SG
mango,lightning,WH,DP,DG,BK,SC,LH,SG,SR
mango,lightning,WH,DP,DG,BK,LC,MB,DR,SG
mango,lightning,WH,DP,DG,BK,LC,MB,SG,SR
mango,lightning,WH,DP,DG,BK,LC,DB,DR,SG
mango,lightning,WH,DP,DG,BK,LC,DB,SG,SR
mango,lightning,WH,DP,DG,BK,MB,DB,DR,SG
mango,lightning,WH,DP,DG,BK,MB,DB,SG,SR
mango,lightning,WH,DP,SG,A1,LY,SC,DR,SG
mango,lightning,WH,DP,SG,A1,LY,SC,SG,SR
mango,lightning,WH,DP,SG,A1,LY,LH,DR,SG
mango,lightning,WH,DP,SG,A1,LY,LH,SG,SR
mango,lightning,WH,DP,SG,A1,SP,DP,DR,SG
mango,lightning,WH,DP,SG,A1,SP,DP,SG,SR
mango,lightning,WH,DP,SG,A1,SP,MP,DR,SG
mango,lightning,WH,DP,SG,A1,SP,MP,SG,SR
mango,lightning,WH,DP,SG,A1,SP,MC,DR,SG
mango,lightning,WH,DP,SG,A1,SP,MC,SG,SR
mango,lightning,WH,DP,SG,A1,SP,LP,DR,SG
mango,lightning,WH,DP,SG,A1,SP,LP,SG,SR
mango,lightning,WH,DP,SG,A1,DP,MP,DR,SG
mango,lightning,WH,DP,SG,A1,DP,MP,SG,SR
mango,lightning,WH,DP,SG,A1,DP,LP,DR,SG
mango,lightning,WH,DP,SG,A1,DP,LP,SG,SR
mango,lightning,WH,DP,SG,A1,DR,SR,DR,SG
mango,lightning,WH,DP,SG,A1,DR,SR,SG,SR
mango,lightning,WH,DP,SG,A1,DC,MC,DR,SG
mango,lightning,WH,DP,SG,A1,DC,MC,SG,SR
mango,lightning,WH,DP,SG,A1,SB,LB,DR,SG
mango,lightning,WH,DP,SG,A1,SB,LB,SG,SR
mango,lightning,WH,DP,SG,A1,A1,BK,DR,SG
mango,lightning,WH,DP,SG,A1,A1,BK,SG,SR
mango,lightning,WH,DP,SG,A1,MP,LP,DR,SG
mango,lightning,WH,DP,SG,A1,MP,LP,SG,SR
mango,lightning,WH,DP,SG,A1,DO,LO,DR,SG
mango,lightning,WH,DP,SG,A1,DO,LO,SG,SR
mango,lightning,WH,DP,SG,A1,LR,MR,DR,SG
mango,lightning,WH,DP,SG,A1,LR,MR,SG,SR
mango,lightning,WH,DP,SG,A1,MR,LO,DR,SG
mango,lightning,WH,DP,SG,A1,MR,LO,SG,SR
mango,lightning,WH,DP,SG,A1,MC,LP,DR,SG
mango,lightning,WH,DP,SG,A1,MC,LP,SG,SR
mango,lightning,WH,DP,SG,A1,SC,LH,DR,SG
mango,lightning,WH,DP,SG,A1,SC,LH,SG,SR
mango,lightning,WH,DP,SG,A1,LC,MB,DR,SG
mango,lightning,WH,DP,SG,A1,LC,MB,SG,SR
mango,lightning,WH,DP,SG,A1,LC,DB,DR,SG
mango,lightning,WH,DP,SG,A1,LC,DB,SG,SR
mango,lightning,WH,DP,SG,A1,MB,DB,DR,SG
mango,lightning,WH,DP,SG,A1,MB,DB,SG,SR
mango,lightning,WH,DP,SG,A3,LY,SC,DR,SG
mango,lightning,WH,DP,SG,A3,LY,SC,SG,SR
mango,lightning,WH,DP,SG,A3,LY,LH,DR,SG
mango,lightning,WH,DP,SG,A3,LY,LH,SG,SR
mango,lightning,WH,DP,SG,A3,SP,DP,DR,SG
mango,lightning,WH,DP,SG,A3,SP,DP,SG,SR
mango,lightning,WH,DP,SG,A3,SP,MP,DR,SG
mango,lightning,WH,DP,SG,A3,SP,MP,SG,SR
mango,lightning,WH,DP,SG,A3,SP,MC,DR,SG
mango,lightning,WH,DP,SG,A3,SP,MC,SG,SR
mango,lightning,WH,DP,SG,A3,SP,LP,DR,SG
mango,lightning,WH,DP,SG,A3,SP,LP,SG,SR
mango,lightning,WH,DP,SG,A3,DP,MP,DR,SG
mango,lightning,WH,DP,SG,A3,DP,MP,SG,SR
mango,lightning,WH,DP,SG,A3,DP,LP,DR,SG
mango,lightning,WH,DP,SG,A3,DP,LP,SG,SR
mango,lightning,WH,DP,SG,A3,DR,SR,DR,SG
mango,lightning,WH,DP,SG,A3,DR,SR,SG,SR
mango,lightning,WH,DP,SG,A3,DC,MC,DR,SG
mango,lightning,WH,DP,SG,A3,DC,MC,SG,SR
mango,lightning,WH,DP,SG,A3,SB,LB,DR,SG
mango,lightning,WH,DP,SG,A3,SB,LB,SG,SR
mango,lightning,WH,DP,SG,A3,A1,BK,DR,SG
mango,lightning,WH,DP,SG,A3,A1,BK,SG,SR
mango,lightning,WH,DP,SG,A3,MP,LP,DR,SG
mango,lightning,WH,DP,SG,A3,MP,LP,SG,SR
mango,lightning,WH,DP,SG,A3,DO,LO,DR,SG
mango,lightning,WH,DP,SG,A3,DO,LO,SG,SR
mango,lightning,WH,DP,SG,A3,LR,MR,DR,SG
mango,lightning,WH,DP,SG,A3,LR,MR,SG,SR
mango,lightning,WH,DP,SG,A3,MR,LO,DR,SG
mango,lightning,WH,DP,SG,A3,MR,LO,SG,SR
mango,lightning,WH,DP,SG,A3,MC,LP,DR,SG
mango,lightning,WH,DP,SG,A3,MC,LP,SG,SR
mango,lightning,WH,DP,SG,A3,SC,LH,DR,SG
mango,lightning,WH,DP,SG,A3,SC,LH,SG,SR
mango,lightning,WH,DP,SG,A3,LC,MB,DR,SG
mango,lightning,WH,DP,SG,A3,LC,MB,SG,SR
mango,lightning,WH,DP,SG,A3,LC,DB,DR,SG
mango,lightning,WH,DP,SG,A3,LC,DB,SG,SR
mango,lightning,WH,DP,SG,A3,MB,DB,DR,SG
mango,lightning,WH,DP,SG,A3,MB,DB,SG,SR
mango,lightning,WH,DP,SG,BK,LY,SC,DR,SG
mango,lightning,WH,DP,SG,BK,LY,SC,SG,SR
mango,lightning,WH,DP,SG,BK,LY,LH,DR,SG
mango,lightning,WH,DP,SG,BK,LY,LH,SG,SR
mango,lightning,WH,DP,SG,BK,SP,DP,DR,SG
mango,lightning,WH,DP,SG,BK,SP,DP,SG,SR
mango,lightning,WH,DP,SG,BK,SP,MP,DR,SG
mango,lightning,WH,DP,SG,BK,SP,MP,SG,SR
mango,lightning,WH,DP,SG,BK,SP,MC,DR,SG
mango,lightning,WH,DP,SG,BK,SP,MC,SG,SR
mango,lightning,WH,DP,SG,BK,SP,LP,DR,SG
mango,lightning,WH,DP,SG,BK,SP,LP,SG,SR
mango,lightning,WH,DP,SG,BK,DP,MP,DR,SG
mango,lightning,WH,DP,SG,BK,DP,MP,SG,SR
mango,lightning,WH,DP,SG,BK,DP,LP,DR,SG
mango,lightning,WH,DP,SG,BK,DP,LP,SG,SR
mango,lightning,WH,DP,SG,BK,DR,SR,DR,SG
mango,lightning,WH,DP,SG,BK,DR,SR,SG,SR
mango,lightning,WH,DP,SG,BK,DC,MC,DR,SG
mango,lightning,WH,DP,SG,BK,DC,MC,SG,SR
mango,lightning,WH,DP,SG,BK,SB,LB,DR,SG
mango,lightning,WH,DP,SG,BK,SB,LB,SG,SR
mango,lightning,WH,DP,SG,BK,A1,BK,DR,SG
mango,lightning,WH,DP,SG,BK,A1,BK,SG,SR
mango,lightning,WH,DP,SG,BK,MP,LP,DR,SG
mango,lightning,WH,DP,SG,BK,MP,LP,SG,SR
mango,lightning,WH,DP,SG,BK,DO,LO,DR,SG
mango,lightning,WH,DP,SG,BK,DO,LO,SG,SR
mango,lightning,WH,DP,SG,BK,LR,MR,DR,SG
mango,lightning,WH,DP,SG,BK,LR,MR,SG,SR
mango,lightning,WH,DP,SG,BK,MR,LO,DR,SG
mango,lightning,WH,DP,SG,BK,MR,LO,SG,SR
mango,lightning,WH,DP,SG,BK,MC,LP,DR,SG
mango,lightning,WH,DP,SG,BK,MC,LP,SG,SR
mango,lightning,WH,DP,SG,BK,SC,LH,DR,SG
mango,lightning,WH,DP,SG,BK,SC,LH,SG,SR
mango,lightning,WH,DP,SG,BK,LC,MB,DR,SG
mango,lightning,WH,DP,SG,BK,LC,MB,SG,SR
mango,lightning,WH,DP,SG,BK,LC,DB,DR,SG
mango,lightning,WH,DP,SG,BK,LC,DB,SG,SR
mango,lightning,WH,DP,SG,BK,MB,DB,DR,SG
mango,lightning,WH,DP,SG,BK,MB,DB,SG,SR
mango,lightning,WH,DR,WH,SG,LY,SC,DR,SG
mango,lightning,WH,DR,WH,SG,LY,SC,SG,SR
mango,lightning,WH,DR,WH,SG,LY,LH,DR,SG
mango,lightning,WH,DR,WH,SG,LY,LH,SG,SR
mango,lightning,WH,DR,WH,SG,SP,DP,DR,SG
mango,lightning,WH,DR,WH,SG,SP,DP,SG,SR
mango,lightning,WH,DR,WH,SG,SP,MP,DR,SG
mango,lightning,WH,DR,WH,SG,SP,MP,SG,SR
mango,lightning,WH,DR,WH,SG,SP,MC,DR,SG
mango,lightning,WH,DR,WH,SG,SP,MC,SG,SR
mango,lightning,WH,DR,WH,SG,SP,LP,DR,SG
mango,lightning,WH,DR,WH,SG,SP,LP,SG,SR
mango,lightning,WH,DR,WH,SG,DP,MP,DR,SG
mango,lightning,WH,DR,WH,SG,DP,MP,SG,SR
mango,lightning,WH,DR,WH,SG,DP,LP,DR,SG
mango,lightning,WH,DR,WH,SG,DP,LP,SG,SR
mango,lightning,WH,DR,WH,SG,DR,SR,DR,SG
mango,lightning,WH,DR,WH,SG,DR,SR,SG,SR
mango,lightning,WH,DR,WH,SG,DC,MC,DR,SG
mango,lightning,WH,DR,WH,SG,DC,MC,SG,SR
mango,lightning,WH,DR,WH,SG,SB,LB,DR,SG
mango,lightning,WH,DR,WH,SG,SB,LB,SG,SR
mango,lightning,WH,DR,WH,SG,A1,BK,DR,SG
mango,lightning,WH,DR,WH,SG,A1,BK,SG,SR
mango,lightning,WH,DR,WH,SG,MP,LP,DR,SG
mango,lightning,WH,DR,WH,SG,MP,LP,SG,SR
mango,lightning,WH,DR,WH,SG,DO,LO,DR,SG
mango,lightning,WH,DR,WH,SG,DO,LO,SG,SR
mango,lightning,WH,DR,WH,SG,LR,MR,DR,SG
mango,lightning,WH,DR,WH,SG,LR,MR,SG,SR
mango,lightning,WH,DR,WH,SG,MR,LO,DR,SG
mango,lightning,WH,DR,WH,SG,MR,LO,SG,SR
mango,lightning,WH,DR,WH,SG,MC,LP,DR,SG
mango,lightning,WH,DR,WH,SG,MC,LP,SG,SR
mango,lightning,WH,DR,WH,SG,SC,LH,DR,SG
mango,lightning,WH,DR,WH,SG,SC,LH,SG,SR
mango,lightning,WH,DR,WH,SG,LC,MB,DR,SG
mango,lightning,WH,DR,WH,SG,LC,MB,SG,SR
mango,lightning,WH,DR,WH,SG,LC,DB,DR,SG
mango,lightning,WH,DR,WH,SG,LC,DB,SG,SR
mango,lightning,WH,DR,WH,SG,MB,DB,DR,SG
mango,lightning,WH,DR,WH,SG,MB,DB,SG,SR
mango,lightning,WH,DR,DG,A1,LY,SC,DR,SG
mango,lightning,WH,DR,DG,A1,LY,SC,SG,SR
mango,lightning,WH,DR,DG,A1,LY,LH,DR,SG
mango,lightning,WH,DR,DG,A1,LY,LH,SG,SR
mango,lightning,WH,DR,DG,A1,SP,DP,DR,SG
mango,lightning,WH,DR,DG,A1,SP,DP,SG,SR
mango,lightning,WH,DR,DG,A1,SP,MP,DR,SG
mango,lightning,WH,DR,DG,A1,SP,MP,SG,SR
mango,lightning,WH,DR,DG,A1,SP,MC,DR,SG
mango,lightning,WH,DR,DG,A1,SP,MC,SG,SR
mango,lightning,WH,DR,DG,A1,SP,LP,DR,SG
mango,lightning,WH,DR,DG,A1,SP,LP,SG,SR
mango,lightning,WH,DR,DG,A1,DP,MP,DR,SG
mango,lightning,WH,DR,DG,A1,DP,MP,SG,SR
mango,lightning,WH,DR,DG,A1,DP,LP,DR,SG
mango,lightning,WH,DR,DG,A1,DP,LP,SG,SR
mango,lightning,WH,DR,DG,A1,DR,SR,DR,SG
mango,lightning,WH,DR,DG,A1,DR,SR,SG,SR
mango,lightning,WH,DR,DG,A1,DC,MC,DR,SG
mango,lightning,WH,DR,DG,A1,DC,MC,SG,SR
mango,lightning,WH,DR,DG,A1,SB,LB,DR,SG
mango,lightning,WH,DR,DG,A1,SB,LB,SG,SR
mango,lightning,WH,DR,DG,A1,A1,BK,DR,SG
mango,lightning,WH,DR,DG,A1,A1,BK,SG,SR
mango,lightning,WH,DR,DG,A1,MP,LP,DR,SG
mango,lightning,WH,DR,DG,A1,MP,LP,SG,SR
mango,lightning,WH,DR,DG,A1,DO,LO,DR,SG
mango,lightning,WH,DR,DG,A1,DO,LO,SG,SR
mango,lightning,WH,DR,DG,A1,LR,MR,DR,SG
mango,lightning,WH,DR,DG,A1,LR,MR,SG,SR
mango,lightning,WH,DR,DG,A1,MR,LO,DR,SG
mango,lightning,WH,DR,DG,A1,MR,LO,SG,SR
mango,lightning,WH,DR,DG,A1,MC,LP,DR,SG
mango,lightning,WH,DR,DG,A1,MC,LP,SG,SR
mango,lightning,WH,DR,DG,A1,SC,LH,DR,SG
mango,lightning,WH,DR,DG,A1,SC,LH,SG,SR
mango,lightning,WH,DR,DG,A1,LC,MB,DR,SG
mango,lightning,WH,DR,DG,A1,LC,MB,SG,SR
mango,lightning,WH,DR,DG,A1,LC,DB,DR,SG
mango,lightning,WH,DR,DG,A1,LC,DB,SG,SR
mango,lightning,WH,DR,DG,A1,MB,DB,DR,SG
mango,lightning,WH,DR,DG,A1,MB,DB,SG,SR
mango,lightning,WH,DR,DG,BK,LY,SC,DR,SG
mango,lightning,WH,DR,DG,BK,LY,SC,SG,SR
mango,lightning,WH,DR,DG,BK,LY,LH,DR,SG
mango,lightning,WH,DR,DG,BK,LY,LH,SG,SR
mango,lightning,WH,DR,DG,BK,SP,DP,DR,SG
mango,lightning,WH,DR,DG,BK,SP,DP,SG,SR
mango,lightning,WH,DR,DG,BK,SP,MP,DR,SG
mango,lightning,WH,DR,DG,BK,SP,MP,SG,SR
mango,lightning,WH,DR,DG,BK,SP,MC,DR,SG
mango,lightning,WH,DR,DG,BK,SP,MC,SG,SR
mango,lightning,WH,DR,DG,BK,SP,LP,DR,SG
mango,lightning,WH,DR,DG,BK,SP,LP,SG,SR
mango,lightning,WH,DR,DG,BK,DP,MP,DR,SG
mango,lightning,WH,DR,DG,BK,DP,MP,SG,SR
mango,lightning,WH,DR,DG,BK,DP,LP,DR,SG
mango,lightning,WH,DR,DG,BK,DP,LP,SG,SR
mango,lightning,WH,DR,DG,BK,DR,SR,DR,SG
mango,lightning,WH,DR,DG,BK,DR,SR,SG,SR
mango,lightning,WH,DR,DG,BK,DC,MC,DR,SG
mango,lightning,WH,DR,DG,BK,DC,MC,SG,SR
mango,lightning,WH,DR,DG,BK,SB,LB,DR,SG
mango,lightning,WH,DR,DG,BK,SB,LB,SG,SR
mango,lightning,WH,DR,DG,BK,A1,BK,DR,SG
mango,lightning,WH,DR,DG,BK,A1,BK,SG,SR
mango,lightning,WH,DR,DG,BK,MP,LP,DR,SG
mango,lightning,WH,DR,DG,BK,MP,LP,SG,SR
mango,lightning,WH,DR,DG,BK,DO,LO,DR,SG
mango,lightning,WH,DR,DG,BK,DO,LO,SG,SR
mango,lightning,WH,DR,DG,BK,LR,MR,DR,SG
mango,lightning,WH,DR,DG,BK,LR,MR,SG,SR
mango,lightning,WH,DR,DG,BK,MR,LO,DR,SG
mango,lightning,WH,DR,DG,BK,MR,LO,SG,SR
mango,lightning,WH,DR,DG,BK,MC,LP,DR,SG
mango,lightning,WH,DR,DG,BK,MC,LP,SG,SR
mango,lightning,WH,DR,DG,BK,SC,LH,DR,SG
mango,lightning,WH,DR,DG,BK,SC,LH,SG,SR
mango,lightning,WH,DR,DG,BK,LC,MB,DR,SG
mango,lightning,WH,DR,DG,BK,LC,MB,SG,SR
mango,lightning,WH,DR,DG,BK,LC,DB,DR,SG
mango,lightning,WH,DR,DG,BK,LC,DB,SG,SR
mango,lightning,WH,DR,DG,BK,MB,DB,DR,SG
mango,lightning,WH,DR,DG,BK,MB,DB,SG,SR
mango,lightning,WH,DR,SG,A1,LY,SC,DR,SG
mango,lightning,WH,DR,SG,A1,LY,SC,SG,SR
mango,lightning,WH,DR,SG,A1,LY,LH,DR,SG
mango,lightning,WH,DR,SG,A1,LY,LH,SG,SR
mango,lightning,WH,DR,SG,A1,SP,DP,DR,SG
mango,lightning,WH,DR,SG,A1,SP,DP,SG,SR
mango,lightning,WH,DR,SG,A1,SP,MP,DR,SG
mango,lightning,WH,DR,SG,A1,SP,MP,SG,SR
mango,lightning,WH,DR,SG,A1,SP,MC,DR,SG
mango,lightning,WH,DR,SG,A1,SP,MC,SG,SR
mango,lightning,WH,DR,SG,A1,SP,LP,DR,SG
mango,lightning,WH,DR,SG,A1,SP,LP,SG,SR
mango,lightning,WH,DR,SG,A1,DP,MP,DR,SG
mango,lightning,WH,DR,SG,A1,DP,MP,SG,SR
mango,lightning,WH,DR,SG,A1,DP,LP,DR,SG
mango,lightning,WH,DR,SG,A1,DP,LP,SG,SR
mango,lightning,WH,DR,SG,A1,DR,SR,DR,SG
mango,lightning,WH,DR,SG,A1,DR,SR,SG,SR
mango,lightning,WH,DR,SG,A1,DC,MC,DR,SG
mango,lightning,WH,DR,SG,A1,DC,MC,SG,SR
mango,lightning,WH,DR,SG,A1,SB,LB,DR,SG
mango,lightning,WH,DR,SG,A1,SB,LB,SG,SR
mango,lightning,WH,DR,SG,A1,A1,BK,DR,SG
mango,lightning,WH,DR,SG,A1,A1,BK,SG,SR
mango,lightning,WH,DR,SG,A1,MP,LP,DR,SG
mango,lightning,WH,DR,SG,A1,MP,LP,SG,SR
mango,lightning,WH,DR,SG,A1,DO,LO,DR,SG
mango,lightning,WH,DR,SG,A1,DO,LO,SG,SR
mango,lightning,WH,DR,SG,A1,LR,MR,DR,SG
mango,lightning,WH,DR,SG,A1,LR,MR,SG,SR
mango,lightning,WH,DR,SG,A1,MR,LO,DR,SG
mango,lightning,WH,DR,SG,A1,MR,LO,SG,SR
mango,lightning,WH,DR,SG,A1,MC,LP,DR,SG
mango,lightning,WH,DR,SG,A1,MC,LP,SG,SR
mango,lightning,WH,DR,SG,A1,SC,LH,DR,SG
mango,lightning,WH,DR,SG,A1,SC,LH,SG,SR
mango,lightning,WH,DR,SG,A1,LC,MB,DR,SG
mango,lightning,WH,DR,SG,A1,LC,MB,SG,SR
mango,lightning,WH,DR,SG,A1,LC,DB,DR,SG
mango,lightning,WH,DR,SG,A1,LC,DB,SG,SR
mango,lightning,WH,DR,SG,A1,MB,DB,DR,SG
mango,lightning,WH,DR,SG,A1,MB,DB,SG,SR
mango,lightning,WH,DR,SG,A3,LY,SC,DR,SG
mango,lightning,WH,DR,SG,A3,LY,SC,SG,SR
mango,lightning,WH,DR,SG,A3,LY,LH,DR,SG
mango,lightning,WH,DR,SG,A3,LY,LH,SG,SR
mango,lightning,WH,DR,SG,A3,SP,DP,DR,SG
mango,lightning,WH,DR,SG,A3,SP,DP,SG,SR
mango,lightning,WH,DR,SG,A3,SP,MP,DR,SG
mango,lightning,WH,DR,SG,A3,SP,MP,SG,SR
mango,lightning,WH,DR,SG,A3,SP,MC,DR,SG
mango,lightning,WH,DR,SG,A3,SP,MC,SG,SR
mango,lightning,WH,DR,SG,A3,SP,LP,DR,SG
mango,lightning,WH,DR,SG,A3,SP,LP,SG,SR
mango,lightning,WH,DR,SG,A3,DP,MP,DR,SG
mango,lightning,WH,DR,SG,A3,DP,MP,SG,SR
mango,lightning,WH,DR,SG,A3,DP,LP,DR,SG
mango,lightning,WH,DR,SG,A3,DP,LP,SG,SR
mango,lightning,WH,DR,SG,A3,DR,SR,DR,SG
mango,lightning,WH,DR,SG,A3,DR,SR,SG,SR
mango,lightning,WH,DR,SG,A3,DC,MC,DR,SG
mango,lightning,WH,DR,SG,A3,DC,MC,SG,SR
mango,lightning,WH,DR,SG,A3,SB,LB,DR,SG
mango,lightning,WH,DR,SG,A3,SB,LB,SG,SR
mango,lightning,WH,DR,SG,A3,A1,BK,DR,SG
mango,lightning,WH,DR,SG,A3,A1,BK,SG,SR
mango,lightning,WH,DR,SG,A3,MP,LP,DR,SG
mango,lightning,WH,DR,SG,A3,MP,LP,SG,SR
mango,lightning,WH,DR,SG,A3,DO,LO,DR,SG
mango,lightning,WH,DR,SG,A3,DO,LO,SG,SR
mango,lightning,WH,DR,SG,A3,LR,MR,DR,SG
